Symbol,Price Level,Note,Foreground Color,Background Color,Diameter
NQU6,31000.00,Call Resistance,#FFFFFF,#FF8800,21
NQU6,30500.00,GEX 6,#FFFFFF,#CC44CC,21
NQU6,30220.37,1D Max,#FFFFFF,#FF4444,21
NQU6,30150.00,Call Resistance 0DTE / Gamma Wall 0DTE,#FFFFFF,#FF8800,21
NQU6,30100.00,GEX 2,#FFFFFF,#CC44CC,21
NQU6,30000.00,GEX 1,#FFFFFF,#CC44CC,21
NQU6,29800.00,GEX 4,#FFFFFF,#CC44CC,21
NQU6,29770.00,HVL 0DTE,#000000,#FFFF00,21
NQU6,29750.00,HVL / Put Support 0DTE,#000000,#FFFF00,21
NQU6,29700.00,GEX 5,#FFFFFF,#CC44CC,21
NQU6,29500.00,GEX 3,#FFFFFF,#CC44CC,21
NQU6,29366.63,1D Min,#FFFFFF,#FFAA00,21
NQU6,29300.00,GEX 8,#FFFFFF,#CC44CC,21
NQU6,29250.00,GEX 9,#FFFFFF,#CC44CC,21
NQU6,29200.00,GEX 10,#FFFFFF,#CC44CC,21
NQU6,29000.00,GEX 7,#FFFFFF,#CC44CC,21
NQU6,28500.00,Put Support,#FFFFFF,#00AA00,21
